suicides/100k pop,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,thinness 5-9 years,Income composition of resources,Schooling,HDI for year,gdp_per_capita ($)
4.51,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
4.36,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
4.07,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
3.57,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
1.47,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
0.0,developing,75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,363.13685,1.7,0.703,11.6,1.83e-15,-0.705176915
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,35.1293,1.8,0.696,11.4,1.83e-15,-0.737440689
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
0.0,developing,73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,279.142931,1.8,0.685,10.8,-1.626407991,-0.753058822
11.26,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
9.95,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
7.85,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
6.84,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
6.63,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
5.89,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
4.95,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
4.83,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
4.34,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
1.47,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
1.05,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
0.33,developing,73.0,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,2416.588235,1.9,0.681,10.9,1.83e-15,-0.772941116
12.22,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
7.94,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
7.25,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
5.49,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
4.93,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
4.6,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
4.38,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
4.04,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
3.41,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
3.06,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
1.28,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
0.0,developing,72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,189.681557,2.0,0.674,10.7,1.83e-15,-0.79981047
12.9,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
11.15,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
9.16,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
6.56,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
5.7,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
5.07,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
4.0,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
3.13,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
2.11,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
2.09,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
0.33,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
0.31,developing,73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,1453.642777,2.1,0.67,10.7,1.83e-15,-0.822826665
10.65,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
8.98,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
5.59,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
4.23,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
3.91,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
3.32,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
3.24,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
3.22,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
3.16,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
1.87,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
1.8,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
0.65,developing,73.6,14,1,4.25,96.20557078,96,18,46.0,1,97,6.0,97,0.1,1326.97339,2.1,0.662,10.6,1.83e-15,-0.829094469
7.33,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
5.64,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
5.29,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
4.02,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
2.27,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
2.08,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
1.51,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
1.22,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
1.07,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
0.27,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
0.0,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
0.0,developing,72.6,11,1,3.66,91.71154052,96,662,45.0,1,97,6.26,97,0.1,1175.788981,2.2,0.656,10.7,-2.26928427,-0.836903535
15.62,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.4,13,0,3.755,0.0,99,0,47.7,0,86,5.755,99,0.2,13566.9541,3.3,0.784,13.9,1.83e-15,-0.140560863
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.2,131,0,8.56,2422.999774,99,0,47.0,0,96,5.54,99,0.2,12888.29667,3.3,0.782,13.9,-0.175815363,-0.179606195
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,76.1,133,0,8.58,1991.430372,99,0,46.4,0,98,5.33,99,0.2,12224.86416,3.3,0.781,13.9,-0.208783378,-0.221014797
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
0.0,developing,75.9,134,0,8.18,2156.229842,98,0,45.7,0,97,5.39,98,0.2,12565.44197,3.3,0.778,13.8,-0.208783378,-0.202005886
